,precision,recall,f1-score,support
BYE,0.7489711934156379,0.91,0.8216704288939053,400.0
HELLO,1.0,1.0,1.0,400.0
J,0.9974874371859297,0.9925,0.9949874686716792,400.0
NO,0.8327526132404182,0.5975,0.6957787481804949,400.0
YES,0.7930232558139535,0.8525,0.8216867469879519,400.0
Z,0.9949874686716792,0.9925,0.9937421777221527,400.0
accuracy,0.8908333333333334,0.8908333333333334,0.8908333333333334,0.8908333333333334
macro avg,0.8945369947212698,0.8908333333333335,0.8879775950760308,2400.0
weighted avg,0.8945369947212697,0.8908333333333334,0.8879775950760308,2400.0
